#Lambda	Bandwidth	AOI	Delta	Psi	Zone	Amin	Pmin	Afix	Pfix	ROIidx	X_pos	Y_pos	Theta_pos
#nm	nm	deg	deg	deg	-	deg	deg	deg	deg	-	mm	mm	deg
658.0	2.0	68.000	171.586	13.385	2	-13.394	-40.797	-13.056	-40.797	000	-30.305	-6.061	0.000
658.0	2.0	68.000	170.475	13.377	1	-13.367	-49.766	-13.040	-49.766	000	-30.305	-6.061	0.000
658.0	2.0	68.000	171.097	13.558	3	13.568	40.554	13.056	40.554	000	-30.305	-6.061	0.000
658.0	2.0	52.000	177.584	30.090	4	30.085	46.208	30.000	46.208	000	-18.182	-6.061	0.000
658.0	2.0	52.000	177.777	29.925	2	-29.929	-43.888	-30.095	-43.888	000	-18.183	-6.061	0.000
658.0	2.0	52.000	176.978	29.933	1	-29.926	-46.510	-30.085	-46.510	000	-18.183	-6.061	0.000
658.0	2.0	52.000	177.593	30.114	3	30.119	43.796	30.095	43.796	000	-18.183	-6.061	0.000
658.0	2.0	56.000	177.030	26.962	4	26.957	46.468	30.000	46.468	000	-18.183	-6.061	0.000
658.0	2.0	56.000	177.131	26.797	2	-26.803	-43.564	-26.968	-43.564	000	-18.183	-6.061	0.000
658.0	2.0	56.000	176.259	26.803	1	-26.796	-46.870	-26.957	-46.870	000	-18.183	-6.061	0.000
658.0	2.0	56.000	176.834	26.995	3	27.002	43.417	26.968	43.417	000	-18.183	-6.061	0.000
658.0	2.0	60.000	176.222	23.238	4	23.231	46.848	30.000	46.848	000	-18.183	-6.061	0.000
658.0	2.0	60.000	176.192	23.099	2	-23.106	-43.095	-23.244	-43.095	000	-18.183	-6.061	0.000
658.0	2.0	60.000	175.222	23.104	1	-23.096	-47.388	-23.231	-47.388	000	-18.183	-6.061	0.000
658.0	2.0	60.000	175.800	23.297	3	23.304	42.900	23.244	42.900	000	-18.183	-6.061	0.000
658.0	2.0	64.000	174.931	18.764	4	18.756	47.459	30.000	47.459	000	-18.183	-6.061	0.000
658.0	2.0	64.000	174.685	18.696	2	-18.703	-42.342	-18.771	-42.342	000	-18.183	-6.061	0.000
658.0	2.0	64.000	173.635	18.691	1	-18.682	-48.182	-18.756	-48.182	000	-18.183	-6.061	0.000
658.0	2.0	64.000	174.217	18.883	3	18.892	42.110	18.771	42.110	000	-18.183	-6.061	0.000
658.0	2.0	68.000	172.490	13.080	4	13.072	48.614	30.000	48.614	000	-18.183	-6.061	0.000
658.0	2.0	68.000	171.724	13.382	2	-13.391	-40.865	-13.087	-40.865	000	-18.183	-6.061	0.000
658.0	2.0	68.000	170.637	13.379	1	-13.369	-49.685	-13.072	-49.685	000	-18.183	-6.061	0.000
658.0	2.0	68.000	171.250	13.562	3	13.572	40.630	13.088	40.630	000	-18.183	-6.061	0.000
658.0	2.0	52.000	177.508	30.092	4	30.087	46.246	30.000	46.246	000	-6.061	-6.061	0.000
